#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
1,11,0.685467,2,191,47,23,341
2,9,0.8787202,0,23,47,21,495
3,11,0.8938585,1,93,46,23,342
4,10,0.8941368,0,14,45,27,396
5,12,1.052972,0,0,45,25,357
6,13,1.3676945,0,19,47,21,382
7,11,5.6608865,0,57,48,23,321
8,10,6.4341462,0,4,45,27,372
9,20,6.6856135,4,327,46,19,367
10,11,8.245424,0,64,45,23,401
11,13,8.6713002,0,22,45,21,406
12,12,8.9513518,0,4,45,25,395
13,13,9.042689,0,9,45,21,443
14,11,13.8325858,1,184,45,23,395
15,13,16.3879082,0,15,45,21,363
16,20,16.4037962,0,9,45,19,408
17,13,16.44379,0,0,45,21,338
18,20,16.595058,3,190,49,19,253
19,10,17.3963608,0,37,47,27,342
20,10,17.4200098,0,18,45,27,366
21,13,18.847017,0,36,48,34,352
22,10,18.9548962,3,235,48,36,303
23,13,19.5770472,0,0,45,21,337
24,13,19.6715768,0,95,46,21,345
25,1,19.7059655,0,0,45,19,452
26,11,20.1082748,0,0,45,23,420
27,14,21.8972915,0,67,47,29,366
28,7,22.9049292,2,188,48,15,358
29,13,24.3018615,0,10,46,32,449
30,10,24.5028422,8,496,50,35,238
31,10,25.1558045,0,36,47,27,340
32,11,25.6155612,0,0,45,23,444
33,16,27.9890402,2,158,48,21,433
34,11,29.7237405,0,0,45,23,440
35,10,29.8102285,0,14,45,26,363
36,10,32.5108752,0,4,45,27,364
37,12,34.260566,10,420,53,26,22
38,20,34.403243,0,13,45,19,411
39,11,34.4649205,3,288,46,23,316
40,11,37.290651,1,81,47,23,346
41,9,37.7244565,1,169,45,19,432
42,10,37.725276,0,0,45,27,350
43,13,40.3214175,0,37,48,21,312
44,10,40.4845545,1,94,48,27,296
45,13,40.841225,1,123,48,21,346
46,16,43.4733678,2,187,47,21,377
47,10,45.1376515,0,9,47,27,371
48,12,45.2876902,12,569,53,25,234
49,10,45.630904,3,226,47,27,294
50,13,47.4703425,1,109,48,21,323
