File selected         : C:\tests\ae-tank-txt-summary\mistras-tank-sample-2.txt
File size             : 0.85 MB (893,414 bytes)

Total AEHits          : 10036
Total Channel Count   : 22
Total Channel Missing : 1

Channel         AEHits
      1            170
      2            161
      3            163
      4            164
      5            166
      6           5341
      7            193
      8            157
      9             30
     10            786
     11            605
     12            472
     13            456
     14             54
     15              3
     16            282
     17              0
     18             31
     19              5
     20            125
     21             45
     22            627

HIT DRIVEN DATA:
           Chan          Minimum          Maximum          Average           StdDev
DayTime       1          16.3923        1387.1133         500.6648         491.4022
PARA1         1          -0.0174           0.0174           0.0012           0.0066
RISE          1           0.0000         459.0000         199.2588         108.2075
COUN          1           1.0000           3.0000           1.0294           0.2289
ENER          1           0.0000          54.0000          18.7882          11.3733
DURATION      1           0.0000         962.0000         483.9471         256.3736
AMP           1          45.0000          53.0000          47.4824           2.0242
ASL           1          19.0000          31.0000          21.8176           2.8403
A-FRQ         1           0.0000         167.0000           6.5647          23.8243
FRQ-C         1          18.0000         488.0000         384.5882          53.2325
DayTime       2          16.3923        1388.3585         500.7564         496.2025
PARA1         2          -0.0174           0.0174           0.0012           0.0069
RISE          2           0.0000         479.0000         195.3851         106.3324
COUN          2           1.0000           3.0000           1.0311           0.2351
ENER          2           0.0000          52.0000          17.9689          11.0530
DURATION      2           0.0000         944.0000         475.0994         241.9461
AMP           2          45.0000          53.0000          47.4161           1.9607
ASL           2          15.0000          30.0000          19.1180           4.0641
A-FRQ         2           0.0000        1000.0000          10.5528          79.5769
FRQ-C         2          20.0000         618.0000         393.8075          74.2026
DayTime       3          16.3922        1388.3575         511.4170         500.0889
PARA1         3          -0.0174           0.0174           0.0012           0.0068
RISE          3           0.0000         439.0000         190.8037         106.5007
COUN          3           1.0000          35.0000           1.5644           3.8442
ENER          3           0.0000          52.0000          18.2025          10.9939
DURATION      3           0.0000         955.0000         482.5828         237.7386
AMP           3          45.0000          53.0000          47.5706           2.0697
ASL           3          15.0000          31.0000          20.8528           3.1432
A-FRQ         3           0.0000         154.0000           4.6994          13.7980
FRQ-C         3          20.0000         578.0000         397.4601          83.7729
DayTime       4          16.3923        1387.1133         504.5023         494.3460
PARA1         4          -0.0174           0.0174           0.0010           0.0068
RISE          4           0.0000         421.0000         198.3110          99.7105
COUN          4           1.0000           1.0000           1.0000           0.0000
ENER          4           0.0000          53.0000          19.0610          10.9889
DURATION      4           0.0000         956.0000         479.2012         254.8675
AMP           4          45.0000          53.0000          47.4756           2.0106
ASL           4          19.0000          31.0000          21.5915           2.9636
A-FRQ         4           0.0000          45.0000           2.8963           4.2910
FRQ-C         4          22.0000         470.0000         384.8354          59.9297
DayTime       5          16.3923        1387.1133         507.7934         495.7235
PARA1         5          -0.0174           0.0174           0.0009           0.0068
RISE          5           0.0000         447.0000         185.1807         109.1614
COUN          5           1.0000           6.0000           1.0301           0.3881
ENER          5           0.0000          53.0000          18.9819          10.9015
DURATION      5           0.0000         957.0000         482.7470         251.7606
AMP           5          45.0000          53.0000          47.4699           2.0051
ASL           5          19.0000          31.0000          21.4639           2.9535
A-FRQ         5           0.0000          72.0000           3.0241           6.0412
FRQ-C         5          16.0000         509.0000         384.0361          60.5006
DayTime       6           0.8789        1393.5988         681.1553         502.4977
PARA1         6          -0.0180           0.0223           0.0005           0.0068
RISE          6           0.0000        1737.0000          81.6343         154.5750
COUN          6           1.0000         111.0000           4.4585           5.7316
ENER          6           0.0000          99.0000           3.7500           7.0885
DURATION      6           0.0000        2512.0000         159.1524         241.4895
AMP           6          45.0000          92.0000          66.1648           9.7364
ASL           6          15.0000          44.0000          23.1352           7.0624
A-FRQ         6           0.0000        1000.0000         133.7253         200.5605
FRQ-C         6          16.0000         951.0000         360.3584         167.0096
DayTime       7          16.3923        1388.3567         527.6417         495.5538
PARA1         7          -0.0174           0.0174           0.0007           0.0069
RISE          7           0.0000        1392.0000         206.3523         141.6031
COUN          7           1.0000         298.0000           5.9534          36.4213
ENER          7           0.0000         186.0000          20.0881          22.7559
DURATION      7           0.0000        2875.0000         527.3782         419.8936
AMP           7          45.0000          71.0000          47.7824           3.4947
ASL           7          15.0000          31.0000          20.6839           3.4699
A-FRQ         7           0.0000        1000.0000          16.6684         102.2952
FRQ-C         7          20.0000         479.0000         369.8446          66.4287
DayTime       8          16.3922        1388.3580         499.7892         497.3499
